# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   19.14914915    0.03164984
   19.18918919    0.03145965
   19.22922923    0.03127940
   19.26926927    0.03111115
   19.30930931    0.03095701
   19.34934935    0.03081906
   19.38938939    0.03069935
   19.42942943    0.03059979
   19.46946947    0.03052207
   19.50950951    0.03046759
   19.54954955    0.03043736
   19.58958959    0.03043197
   19.62962963    0.03045152
   19.66966967    0.03049566
   19.70970971    0.03056360
   19.74974975    0.03065423
   19.78978979    0.03076618
   19.82982983    0.03089802
   19.86986987    0.03104832
   19.90990991    0.03121584
   19.94994995    0.03139961
   19.98998999    0.03159899
   20.03003003    0.03181372
   20.07007007    0.03204382
   20.11011011    0.03228959
   20.15015015    0.03255145
   20.19019019    0.03282979
   20.23023023    0.03312490
   20.27027027    0.03343678
   20.31031031    0.03376508
   20.35035035    0.03410904
   20.39039039    0.03446743
   20.43043043    0.03483859
   20.47047047    0.03522043
   20.51051051    0.03561049
   20.55055055    0.03600600
   20.59059059    0.03640393
   20.63063063    0.03680107
   20.67067067    0.03719402
   20.71071071    0.03757924
   20.75075075    0.03795304
   20.79079079    0.03831166
   20.83083083    0.03865121
   20.87087087    0.03896790
   20.91091091    0.03925811
   20.95095095    0.03951868
   20.99099099    0.03974719
   21.03103103    0.03994228
   21.07107107    0.04010391
   21.11111111    0.04023351
   21.15115115    0.04033405
   21.19119119    0.04040986
   21.23123123    0.04046633
   21.27127127    0.04050946
   21.31131131    0.04054538
   21.35135135    0.04057977
   21.39139139    0.04061747
   21.43143143    0.04066207
   21.47147147    0.04071574
   21.51151151    0.04077909
   21.55155155    0.04085127
   21.59159159    0.04093013
   21.63163163    0.04101248
   21.67167167    0.04109443
   21.71171171    0.04117177
   21.75175175    0.04124036
   21.79179179    0.04129645
   21.83183183    0.04133701
   21.87187187    0.04135988
   21.91191191    0.04136395
   21.95195195    0.04134909
   21.99199199    0.04131608
   22.03203203    0.04126646
   22.07207207    0.04120231
   22.11211211    0.04112601
   22.15215215    0.04104012
   22.19219219    0.04094719
   22.23223223    0.04084969
   22.27227227    0.04075000
   22.31231231    0.04065036
   22.35235235    0.04055297
   22.39239239    0.04045992
   22.43243243    0.04037327
   22.47247247    0.04029497
   22.51251251    0.04022684
   22.55255255    0.04017047
   22.59259259    0.04012710
   22.63263263    0.04009755
   22.67267267    0.04008211
   22.71271271    0.04008041
   22.75275275    0.04009138
   22.79279279    0.04011317
   22.83283283    0.04014317
   22.87287287    0.04017799
   22.91291291    0.04021350
   22.95295295    0.04024498
   22.99299299    0.04026713
   23.03303303    0.04027429
   23.07307307    0.04026053
   23.11311311    0.04021981
   23.15315315    0.04014610
   23.19319319    0.04003359
   23.23323323    0.03987681
   23.27327327    0.03967090
   23.31331331    0.03941186
   23.35335335    0.03909687
   23.39339339    0.03872461
   23.43343343    0.03829556
   23.47347347    0.03781214
   23.51351351    0.03727875
   23.55355355    0.03670158
   23.59359359    0.03608832
   23.63363363    0.03544762
   23.67367367    0.03478860
   23.71371371    0.03412037
   23.75375375    0.03345148
   23.79379379    0.03278972
   23.83383383    0.03214178
   23.87387387    0.03151324
   23.91391391    0.03090851
   23.95395395    0.03033092
   23.99399399    0.02978282
   24.03403403    0.02926572
   24.07407407    0.02878043
   24.11411411    0.02832716
   24.15415415    0.02790566
   24.19419419    0.02751528
   24.23423423    0.02715503
   24.27427427    0.02682359
   24.31431431    0.02651942
   24.35435435    0.02624068
   24.39439439    0.02598532
   24.43443443    0.02575108
   24.47447447    0.02553550
   24.51451451    0.02533595
   24.55455455    0.02514971
   24.59459459    0.02497396
   24.63463463    0.02480590
   24.67467467    0.02464282
   24.71471471    0.02448217
   24.75475475    0.02432171
   24.79479479    0.02415957
   24.83483483    0.02399438
   24.87487487    0.02382527
   24.91491491    0.02365193
   24.95495495    0.02347455
   24.99499499    0.02329380
   25.03503504    0.02311069
   25.07507508    0.02292648
   25.11511512    0.02274260
   25.15515516    0.02256045
   25.19519520    0.02238134
   25.23523524    0.02220641
   25.27527528    0.02203648
   25.31531532    0.02187205
   25.35535536    0.02171317
   25.39539540    0.02155948
   25.43543544    0.02141016
   25.47547548    0.02126392
   25.51551552    0.02111907
   25.55555556    0.02097354
   25.59559560    0.02082495
   25.63563564    0.02067074
   25.67567568    0.02050821
   25.71571572    0.02033472
   25.75575576    0.02014776
   25.79579580    0.01994510
   25.83583584    0.01972494
   25.87587588    0.01948604
   25.91591592    0.01922781
   25.95595596    0.01895043
   25.99599600    0.01865480
   26.03603604    0.01834257
   26.07607608    0.01801591
   26.11611612    0.01767743
   26.15615616    0.01732992
   26.19619620    0.01697613
   26.23623624    0.01661869
