# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   21.95195195    0.04178565
   21.99199199    0.04131125
   22.03203203    0.04080531
   22.07207207    0.04026949
   22.11211211    0.03970644
   22.15215215    0.03911974
   22.19219219    0.03851373
   22.23223223    0.03789339
   22.27227227    0.03726422
   22.31231231    0.03663204
   22.35235235    0.03600283
   22.39239239    0.03538250
   22.43243243    0.03477667
   22.47247247    0.03419046
   22.51251251    0.03362828
   22.55255255    0.03309363
   22.59259259    0.03258895
   22.63263263    0.03211555
   22.67267267    0.03167355
   22.71271271    0.03126192
   22.75275275    0.03087851
   22.79279279    0.03052021
   22.83283283    0.03018304
   22.87287287    0.02986238
   22.91291291    0.02955313
   22.95295295    0.02924995
   22.99299299    0.02894745
   23.03303303    0.02864037
   23.07307307    0.02832370
   23.11311311    0.02799282
   23.15315315    0.02764351
   23.19319319    0.02727201
   23.23323323    0.02687500
   23.27327327    0.02644966
   23.31331331    0.02599374
   23.35335335    0.02550572
   23.39339339    0.02498500
   23.43343343    0.02443218
   23.47347347    0.02384930
   23.51351351    0.02324003
   23.55355355    0.02260965
   23.59359359    0.02196488
   23.63363363    0.02131347
   23.67367367    0.02066363
   23.71371371    0.02002345
   23.75375375    0.01940041
   23.79379379    0.01880098
   23.83383383    0.01823044
   23.87387387    0.01769278
   23.91391391    0.01719080
   23.95395395    0.01672626
   23.99399399    0.01630003
   24.03403403    0.01591228
   24.07407407    0.01556264
   24.11411411    0.01525036
   24.15415415    0.01497442
   24.19419419    0.01473358
   24.23423423    0.01452649
   24.27427427    0.01435174
   24.31431431    0.01420784
   24.35435435    0.01409331
   24.39439439    0.01400663
   24.43443443    0.01394629
   24.47447447    0.01391076
   24.51451451    0.01389851
   24.55455455    0.01390797
   24.59459459    0.01393755
   24.63463463    0.01398564
   24.67467467    0.01405057
   24.71471471    0.01413066
   24.75475475    0.01422420
   24.79479479    0.01432950
   24.83483483    0.01444493
   24.87487487    0.01456895
   24.91491491    0.01470013
   24.95495495    0.01483721
   24.99499499    0.01497907
   25.03503504    0.01512473
