# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   17.54754755    0.01003272
   17.58758759    0.01020570
   17.62762763    0.01038728
   17.66766767    0.01057638
   17.70770771    0.01077183
   17.74774775    0.01097243
   17.78778779    0.01117698
   17.82782783    0.01138429
   17.86786787    0.01159327
   17.90790791    0.01180290
   17.94794795    0.01201229
   17.98798799    0.01222072
   18.02802803    0.01242764
   18.06806807    0.01263275
   18.10810811    0.01283599
   18.14814815    0.01303754
   18.18818819    0.01323787
   18.22822823    0.01343762
   18.26826827    0.01363760
   18.30830831    0.01383872
   18.34834835    0.01404188
   18.38838839    0.01424790
   18.42842843    0.01445749
   18.46846847    0.01467111
   18.50850851    0.01488901
   18.54854855    0.01511115
   18.58858859    0.01533724
   18.62862863    0.01556675
   18.66866867    0.01579897
   18.70870871    0.01603304
   18.74874875    0.01626803
   18.78878879    0.01650301
   18.82882883    0.01673709
   18.86886887    0.01696946
   18.90890891    0.01719938
   18.94894895    0.01742618
   18.98898899    0.01764919
   19.02902903    0.01786770
   19.06906907    0.01808092
   19.10910911    0.01828791
   19.14914915    0.01848762
   19.18918919    0.01867884
   19.22922923    0.01886029
   19.26926927    0.01903064
   19.30930931    0.01918865
   19.34934935    0.01933319
   19.38938939    0.01946337
   19.42942943    0.01957860
   19.46946947    0.01967865
   19.50950951    0.01976375
   19.54954955    0.01983456
   19.58958959    0.01989226
   19.62962963    0.01993844
   19.66966967    0.01997505
   19.70970971    0.02000424
   19.74974975    0.02002823
   19.78978979    0.02004914
   19.82982983    0.02006889
   19.86986987    0.02008910
   19.90990991    0.02011110
   19.94994995    0.02013600
   19.98998999    0.02016473
   20.03003003    0.02019819
   20.07007007    0.02023738
   20.11011011    0.02028344
   20.15015015    0.02033775
   20.19019019    0.02040187
   20.23023023    0.02047758
   20.27027027    0.02056675
   20.31031031    0.02067134
   20.35035035    0.02079325
   20.39039039    0.02093434
   20.43043043    0.02109629
   20.47047047    0.02128060
   20.51051051    0.02148847
   20.55055055    0.02172077
   20.59059059    0.02197795
   20.63063063    0.02226001
   20.67067067    0.02256651
   20.71071071    0.02289654
   20.75075075    0.02324883
   20.79079079    0.02362184
   20.83083083    0.02401391
   20.87087087    0.02442342
   20.91091091    0.02484897
   20.95095095    0.02528951
   20.99099099    0.02574440
   21.03103103    0.02621351
   21.07107107    0.02669712
   21.11111111    0.02719585
   21.15115115    0.02771057
   21.19119119    0.02824224
   21.23123123    0.02879180
   21.27127127    0.02936002
   21.31131131    0.02994739
   21.35135135    0.03055398
